Epoch: 1 | Iteration number: [10/50] 20% | Training loss: 1.0614464461803437
Epoch: 1 | Iteration number: [20/50] 40% | Training loss: 1.0035293877124787
Epoch: 1 | Iteration number: [30/50] 60% | Training loss: 0.9797759970029195
Epoch: 1 | Iteration number: [40/50] 80% | Training loss: 0.9646475926041603

 End of epoch: 1 | Train Loss: 0.9351970899105072 | Training Time: 12 

 End of epoch: 1 | Eval Loss: 0.8927064197404044 | Evaluating Time: 6 
Epoch: 2 | Iteration number: [10/50] 20% | Training loss: 0.9854491055011749
Epoch: 2 | Iteration number: [20/50] 40% | Training loss: 0.9364690959453583
Epoch: 2 | Iteration number: [30/50] 60% | Training loss: 0.9193179885546366
Epoch: 2 | Iteration number: [40/50] 80% | Training loss: 0.9096729159355164

 End of epoch: 2 | Train Loss: 0.8860249829292297 | Training Time: 12 

 End of epoch: 2 | Eval Loss: 0.885067514010838 | Evaluating Time: 6 
Epoch: 3 | Iteration number: [10/50] 20% | Training loss: 0.9657972097396851
Epoch: 3 | Iteration number: [20/50] 40% | Training loss: 0.9200829088687896
Epoch: 3 | Iteration number: [30/50] 60% | Training loss: 0.9039578775564829
Epoch: 3 | Iteration number: [40/50] 80% | Training loss: 0.8954045414924622

 End of epoch: 3 | Train Loss: 0.8726298654079437 | Training Time: 12 

 End of epoch: 3 | Eval Loss: 0.8674381119864327 | Evaluating Time: 6 
Epoch: 4 | Iteration number: [10/50] 20% | Training loss: 0.95327587723732
Epoch: 4 | Iteration number: [20/50] 40% | Training loss: 0.9092120975255966
Epoch: 4 | Iteration number: [30/50] 60% | Training loss: 0.8936536451180775
Epoch: 4 | Iteration number: [40/50] 80% | Training loss: 0.8856767788529396

 End of epoch: 4 | Train Loss: 0.8634540045261383 | Training Time: 12 

 End of epoch: 4 | Eval Loss: 0.8616526552609035 | Evaluating Time: 6 
Epoch: 5 | Iteration number: [10/50] 20% | Training loss: 0.9466282367706299
Epoch: 5 | Iteration number: [20/50] 40% | Training loss: 0.9024597018957138
Epoch: 5 | Iteration number: [30/50] 60% | Training loss: 0.8870678941408793
Epoch: 5 | Iteration number: [40/50] 80% | Training loss: 0.8786803349852562

 End of epoch: 5 | Train Loss: 0.8564580130577087 | Training Time: 12 

 End of epoch: 5 | Eval Loss: 0.848213962146214 | Evaluating Time: 5 
Epoch: 6 | Iteration number: [10/50] 20% | Training loss: 0.9360082447528839
Epoch: 6 | Iteration number: [20/50] 40% | Training loss: 0.8927256464958191
Epoch: 6 | Iteration number: [30/50] 60% | Training loss: 0.8780082643032074
Epoch: 6 | Iteration number: [40/50] 80% | Training loss: 0.8700790837407112

 End of epoch: 6 | Train Loss: 0.848175231218338 | Training Time: 12 

 End of epoch: 6 | Eval Loss: 0.8426266738346645 | Evaluating Time: 5 
Epoch: 7 | Iteration number: [10/50] 20% | Training loss: 0.928458285331726
Epoch: 7 | Iteration number: [20/50] 40% | Training loss: 0.8857103109359741
Epoch: 7 | Iteration number: [30/50] 60% | Training loss: 0.8707480529944102
Epoch: 7 | Iteration number: [40/50] 80% | Training loss: 0.8631658777594566

 End of epoch: 7 | Train Loss: 0.8414255011081696 | Training Time: 12 

 End of epoch: 7 | Eval Loss: 0.8364435434341431 | Evaluating Time: 6 
Epoch: 8 | Iteration number: [10/50] 20% | Training loss: 0.9212088167667389
Epoch: 8 | Iteration number: [20/50] 40% | Training loss: 0.8784970372915268
Epoch: 8 | Iteration number: [30/50] 60% | Training loss: 0.8640733897686005
Epoch: 8 | Iteration number: [40/50] 80% | Training loss: 0.8562395289540291

